,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_adj,median_mcc,median_mcc0,median_mcc0_adj,median_mcc_adj,median_prec,median_prec0,median_prec0_adj,median_prec_adj,median_rec,median_rec_adj,median_rep,median_rep_adj,id
488,LUAD,3,None,edgerqlf,0.001,1,0.0,0.0,0.0542473375250446,0.0,0.0,0.0542473375250446,0.7916666666666666,0.0,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,40
489,LUAD,3,None,edgerqlf,0.01,1,0.0,0.0,0.09861907127736999,0.0,0.0,0.09861907127736999,0.9597288676236044,0.0,0.0,0.9597288676236044,0.0,0.0,0.0,0.0,40
490,LUAD,3,None,edgerqlf,0.05,1,0.0,0.0,0.1944728414036585,0.0,0.0,0.1944728414036585,0.9298245614035088,0.0,0.0,0.9298245614035088,0.0,0.0,0.0,0.0,40
491,LUAD,3,None,edgerqlf,0.1,1,24.0,24.0,0.2935083005507002,0.09224041147154852,0.09224041147154852,0.2935083005507002,0.9252287121745251,0.8407815619425641,0.8407815619425641,0.9252287121745251,0.009828009828009828,0.009828009828009828,0.0,0.0,40
492,LUAD,4,None,DESeq2,0.001,1,275.5,275.5,0.34826576376063545,0.34826576376063545,0.34826576376063545,0.34826576376063545,0.926029675668578,0.926029675668578,0.926029675668578,0.926029675668578,0.14449676280164803,0.14449676280164803,0.17933281438328647,0.17933281438328647,41
493,LUAD,4,None,DESeq2,0.01,1,450.5,450.5,0.41090278552991877,0.41090278552991877,0.41090278552991877,0.41090278552991877,0.9261949228747319,0.9261949228747319,0.9261949228747319,0.9261949228747319,0.20522940305870746,0.20522940305870746,0.22897720732128468,0.22897720732128468,41
494,LUAD,4,None,DESeq2,0.05,1,653.5,653.5,0.46228808306432445,0.46228808306432445,0.46228808306432445,0.46228808306432445,0.9191986340431088,0.9191986340431088,0.9191986340431088,0.9191986340431088,0.2576086956521739,0.2576086956521739,0.2715852167396363,0.2715852167396363,41
495,LUAD,4,None,DESeq2,0.1,1,784.5,784.5,0.4977414731017418,0.4977414731017418,0.4977414731017418,0.4977414731017418,0.9144647101870724,0.9144647101870724,0.9144647101870724,0.9144647101870724,0.2960687960687961,0.2960687960687961,0.29340182370420587,0.29340182370420587,41
496,LUAD,4,None,edgeR LRT,0.001,1,242.5,242.5,0.32873470159814244,0.32873470159814244,0.32873470159814244,0.32873470159814244,0.929266259032796,0.929266259032796,0.929266259032796,0.929266259032796,0.12831077104178928,0.12831077104178928,0.14890628735357397,0.14890628735357397,41
497,LUAD,4,None,edgeR LRT,0.01,1,490.0,490.0,0.4281935964849479,0.4281935964849479,0.4281935964849479,0.4281935964849479,0.9160942760942761,0.9160942760942761,0.9160942760942761,0.9160942760942761,0.22298963986186482,0.22298963986186482,0.21819618388421635,0.21819618388421635,41
498,LUAD,4,None,edgeR LRT,0.05,1,858.5,858.5,0.5179700443894844,0.5179700443894844,0.5179700443894844,0.5179700443894844,0.8874349703511155,0.8874349703511155,0.8874349703511155,0.8874349703511155,0.33695652173913043,0.33695652173913043,0.2792634326764458,0.2792634326764458,41
499,LUAD,4,None,edgeR LRT,0.1,1,1095.5,1095.5,0.5554374883147233,0.5554374883147233,0.5554374883147233,0.5554374883147233,0.8636541532707138,0.8636541532707138,0.8636541532707138,0.8636541532707138,0.3972153972153972,0.3972153972153972,0.3069251679632249,0.3069251679632249,41
500,LUAD,4,None,edgerqlf,0.001,1,0.0,0.0,0.0326741632228201,0.0,0.0,0.0326741632228201,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41
501,LUAD,4,None,edgerqlf,0.01,1,0.0,0.0,0.12668658658595172,0.0,0.0,0.12668658658595172,0.9893048128342246,0.0,0.0,0.9893048128342246,0.0,0.0,0.0,0.0,41
502,LUAD,4,None,edgerqlf,0.05,1,42.5,42.5,0.2486728570227986,0.12263657289366678,0.12263657289366678,0.2486728570227986,0.964,0.9416157205240174,0.9416157205240174,0.964,0.01782608695652174,0.01782608695652174,0.0,0.0,41
503,LUAD,4,None,edgerqlf,0.1,1,306.0,306.0,0.3451809697699924,0.30943463345526434,0.30943463345526434,0.3451809697699924,0.9429824561403509,0.9321839080459771,0.9321839080459771,0.9429824561403509,0.11855036855036855,0.11855036855036855,0.05830909296966492,0.05830909296966492,41
504,LUAD,5,None,DESeq2,0.001,1,317.5,317.5,0.3907776561419274,0.3907776561419274,0.3907776561419274,0.3907776561419274,0.9483474136653327,0.9483474136653327,0.9483474136653327,0.9483474136653327,0.17951736315479694,0.17951736315479694,0.22835466414092137,0.22835466414092137,42
505,LUAD,5,None,DESeq2,0.01,1,514.5,514.5,0.4497536498534243,0.4497536498534243,0.4497536498534243,0.4497536498534243,0.9422077717099656,0.9422077717099656,0.9422077717099656,0.9422077717099656,0.2350764676862358,0.2350764676862358,0.28526583928007215,0.28526583928007215,42
506,LUAD,5,None,DESeq2,0.05,1,734.5,734.5,0.503941048918597,0.503941048918597,0.503941048918597,0.503941048918597,0.9412653318903319,0.9412653318903319,0.9412653318903319,0.9412653318903319,0.3015217391304348,0.3015217391304348,0.331065943056292,0.331065943056292,42
507,LUAD,5,None,DESeq2,0.1,1,880.0,880.0,0.5291272543223358,0.5291272543223358,0.5291272543223358,0.5291272543223358,0.9355828444146808,0.9355828444146808,0.9355828444146808,0.9355828444146808,0.3347665847665848,0.3347665847665848,0.34886915410171226,0.34886915410171226,42
508,LUAD,5,None,edgeR LRT,0.001,1,320.5,320.5,0.38680400257886244,0.38680400257886244,0.38680400257886244,0.38680400257886244,0.9439887955182072,0.9439887955182072,0.9439887955182072,0.9439887955182072,0.17510300176574456,0.17510300176574456,0.1951219512195122,0.1951219512195122,42
509,LUAD,5,None,edgeR LRT,0.01,1,582.5,582.5,0.4800921869262045,0.4800921869262045,0.4800921869262045,0.4800921869262045,0.9397487036298364,0.9397487036298364,0.9397487036298364,0.9397487036298364,0.2715836211149482,0.2715836211149482,0.2759268324071904,0.2759268324071904,42
510,LUAD,5,None,edgeR LRT,0.05,1,959.0,959.0,0.5616003039450533,0.5616003039450533,0.5616003039450533,0.5616003039450533,0.9130840371385001,0.9130840371385001,0.9130840371385001,0.9130840371385001,0.3826086956521739,0.3826086956521739,0.33967883173696983,0.33967883173696983,42
511,LUAD,5,None,edgeR LRT,0.1,1,1236.0,1236.0,0.5986824873643652,0.5986824873643652,0.5986824873643652,0.5986824873643652,0.8903170200560299,0.8903170200560299,0.8903170200560299,0.8903170200560299,0.4567977067977068,0.4567977067977068,0.36471368388204084,0.36471368388204084,42
512,LUAD,5,None,edgerqlf,0.001,1,0.0,0.0,0.04001861127177366,0.0,0.0,0.04001861127177366,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42
513,LUAD,5,None,edgerqlf,0.01,1,1.5,1.5,0.16247115022163083,0.025278397012319775,0.025278397012319775,0.16247115022163083,0.9953703703703703,0.9467787114845938,0.9467787114845938,0.9953703703703703,0.000740009866798224,0.000740009866798224,0.0,0.0,42
514,LUAD,5,None,edgerqlf,0.05,1,250.0,250.0,0.3250288870705677,0.29694908938678855,0.29694908938678855,0.3250288870705677,0.96,0.954983961604322,0.954983961604322,0.96,0.10608695652173913,0.10608695652173913,0.06381977162344538,0.06381977162344538,42
