,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_method,median_mcc,median_mcc0,median_mcc0_method,median_mcc_method,median_prec,median_prec0,median_prec0_method,median_prec_method,median_rec,median_rec_method,median_rep,median_rep_method,id,lfc_mode,isSynthetic
441,LMAB,6,None,edgeR LRT,0.05,1,128.5,128.5,0.1202314938492417,0.1200866136735654,0.1184342462129778,0.1200312678965742,0.3273596176821983,0.3240571673316652,0.3448649861620166,0.3449023861171366,0.0498442367601246,0.0505698005698005,0.0130269589934806,0.0130269589934806,73,post_hoc,False
442,LMAB,6,None,edgeR QLF,0.05,0,0.0,0.0,0.01027793455534,0.0,0.0,0.0101721757690087,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73,post_hoc,False
443,LMAB,6,None,edgeR QLF,0.05,1,0.0,0.0,0.0387651095014678,0.0,0.0,0.0370080453454512,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,73,post_hoc,False
444,LMAB,7,None,DESeq2 Wald,0.05,0,383.5,383.5,0.0844009071363955,0.0844009071363955,0.0825939208704009,0.0825939208704009,0.7763278388278388,0.7763278388278388,0.7891980435585086,0.7891980435585086,0.0321763501131831,0.0315404699738903,0.0364583333333333,0.0364583333333333,74,post_hoc,False
445,LMAB,7,None,DESeq2 Wald,0.05,1,354.5,354.5,0.2147942035690191,0.2147942035690191,0.2170460336840252,0.2170460336840252,0.2933531746031745,0.2933531746031745,0.2976190476190476,0.2976190476190476,0.1775700934579439,0.1763803680981595,0.038843151403831,0.038843151403831,74,post_hoc,False
446,LMAB,7,None,edgeR LRT,0.05,0,135.5,135.5,0.0536442256736881,0.0530350691665244,0.0553655500826963,0.0560132971611671,0.803030303030303,0.8015151515151515,0.8403417566026148,0.8416030534351145,0.01196507491646,0.0119691923397169,0.0185185185185185,0.0185185185185185,74,post_hoc,False
447,LMAB,7,None,edgeR LRT,0.05,1,135.5,135.5,0.1623986382362963,0.1615304895527604,0.1614808469532078,0.1616209397359166,0.3192868719611021,0.3190059857813478,0.3412719960096223,0.3438985736925515,0.087227414330218,0.0833333333333333,0.01875,0.01875,74,post_hoc,False
448,LMAB,7,None,edgeR QLF,0.05,0,0.0,0.0,0.0162521819704979,0.0,0.0,0.0160849488526782,0.9705882352941176,0.0,0.0,0.9878048780487804,0.0,0.0,0.0,0.0,74,post_hoc,False
449,LMAB,7,None,edgeR QLF,0.05,1,0.0,0.0,0.0675963074923417,0.0,0.0,0.0640127502857152,0.5648148148148148,0.0,0.0,0.6,0.0,0.0,0.0,0.0,74,post_hoc,False
450,LMAB,8,None,DESeq2 Wald,0.05,0,561.0,561.0,0.1060403094720232,0.1060403094720232,0.1042945961390117,0.1042945961390117,0.8168333951561799,0.8168333951561799,0.8285856031751113,0.8285856031751113,0.0491538212784305,0.0486684073107049,0.0645350598212933,0.0645350598212933,75,post_hoc,False
451,LMAB,8,None,DESeq2 Wald,0.05,1,497.0,497.0,0.2498006912915365,0.2498006912915365,0.2498163101314588,0.2498163101314588,0.3095037057885355,0.3095037057885355,0.3130453138193076,0.3130453138193076,0.2375389408099688,0.2361963190184049,0.0693664152406071,0.0693664152406071,75,post_hoc,False
452,LMAB,8,None,edgeR LRT,0.05,0,268.5,268.5,0.0794069950651297,0.0793104787581758,0.0832918366248671,0.0835716825110066,0.84375,0.8429276315789473,0.8713144963144963,0.8716216216216216,0.0251158779777945,0.0247710241465445,0.0425027964205816,0.0425027964205816,75,post_hoc,False
453,LMAB,8,None,edgeR LRT,0.05,1,262.0,262.0,0.2177240508385292,0.2176053403600772,0.2194560357443458,0.2240697061360366,0.359375,0.3589638157894737,0.374507874015748,0.375,0.1448598130841121,0.1381766381766381,0.0440185987233628,0.0440185987233628,75,post_hoc,False
